Format_Name,Num_Fields,Insn_Format,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Bit_field_name,end,start,length,value,Value-type,Sum-Of-Lengths
F01-a,7,3,op,31,30,2,3,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,asi,12,5,8,,range,rs2,4,0,5,,generate,,,,,,,,,,,,,32
F01-1,7,3,op,31,30,2,3,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,5,8,0,given,rs2,4,0,5,,generate,,,,,,,,,,,,,32
F01-2,6,3,op,31,30,2,3,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,simm13,12,0,13,,range,,,,,,,,,,,,,,,,,,,32
F02-0,4,2,op,31,30,2,0,given,rd,29,25,5,,generate,op2,24,22,3,4,given,imm22,21,0,22,,range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
F02-1,4,2,op,31,30,2,0,given,rd,29,25,5,0,given,op2,24,22,3,4,given,imm22,21,0,22,0,given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
F03-1,7,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,5,8,0,given,rs2,4,0,5,,generate,,,,,,,,,,,,,32
F03-2,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,simm13,12,0,13,,range,,,,,,,,,,,,,,,,,,,32
F04-1,7,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,5,8,0,given,rs2,4,0,5,,generate,,,,,,,,,,,,,32
F04-2,7,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,unused,12,5,8,0,given,imm5,4,0,5,,generate,,,,,,,,,,,,,32
F05-1,5,2,op,31,30,2,0,given,a,29,29,1,,lookup,cond,28,25,4,,lookup,op2,24,22,3,2,given,disp22,21,0,22,,range,,,,,,,,,,,,,,,,,,,,,,,,,32
F05-2,5,2,op,31,30,2,0,given,a,29,29,1,,lookup,cond,28,25,4,,lookup,op2,24,22,3,6,given,disp22,21,0,22,,range,,,,,,,,,,,,,,,,,,,,,,,,,32
F05-3,5,2,op,31,30,2,0,given,a,29,29,1,,lookup,cond,28,25,4,,lookup,op2,24,22,3,7,given,disp22,21,0,22,,range,,,,,,,,,,,,,,,,,,,,,,,,,32
F06-1,2,1,op,31,30,2,1,given,disp30,29,0,30,255,given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
F07-1,7,3,op,31,30,2,2,given,rd,29,25,5,0,given,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,5,8,0,given,rs2,4,0,5,,generate,,,,,,,,,,,,,32
F07-2,6,3,op,31,30,2,2,given,rd,29,25,5,0,given,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,simm13,12,0,13,,range,,,,,,,,,,,,,,,,,,,32
F08-1,8,3,op,31,30,2,2,given,a,29,29,1,0,given,cond,28,25,4,,lookup,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,RES,12,5,8,0,set,rs2,4,0,5,,generate,,,,,,,32
F08-2,8,3,op,31,30,2,2,given,a,29,29,1,0,set,cond,28,25,4,,lookup,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,RES,12,7,6,0,set,imm7,6,0,7,,range,,,,,,,32
F09-1,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,UNUSED,12,0,13,0,given,,,,,,,,,,,,,,,,,,,32
F10-1,6,3,op,31,30,2,2,given,rd,29,25,5,0,given,op3,24,19,6,,lookup,rs1,18,14,5,15,given,i,13,13,1,0,given,UNUSED,12,0,13,0,given,,,,,,,,,,,,,,,,,,,32
F00-1,4,2,op,31,30,2,0,given,rd,29,25,5,0,given,op2,24,22,3,0,given,imm22,21,0,22,,range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
F11-1,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opf,13,5,9,,lookup,rs2,4,0,5,,generate,,,,,,,,,,,,,,,,,,,32
F11-2,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,0,given,opf,13,5,9,,lookup,rs2,4,0,5,,generate,,,,,,,,,,,,,,,,,,,32
F11-3,6,3,op,31,30,2,2,given,rd,29,25,5,0,given,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opf,13,5,9,,lookup,rs2,4,0,5,,generate,,,,,,,,,,,,,,,,,,,32
F12-1,8,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,6,7,0,given,ajitx,5,5,1,1,given,rs2,4,0,5,,generate,,,,,,,32
F13-1,9,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,8,5,0,given,ajitx,7,6,2,2,given,UNUSED,5,5,1,0,given,rs2,4,0,5,,generate,32
F13-2,8,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,unused,12,8,5,0,given,ajitx,7,6,2,2,given,imm6,5,0,6,,range,,,,,,,32
F14-1,9,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,10,3,0,given,dt,9,7,3,,lookup,ajitx,6,5,2,2,given,rs2,4,0,5,,generate,32
F15-1,9,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,0,given,unused,12,10,3,0,given,dt,9,7,3,,lookup,ajitx,6,5,2,0,given,rs2,4,0,5,,generate,32
F16-1,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opf,13,5,9,,lookup,rs2,4,0,5,0,given,,,,,,,,,,,,,,,,,,,32
F17-1,6,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,opf,13,5,9,,lookup,rs2,4,0,5,0,given,,,,,,,,,,,,,,,,,,,32
F18-1,7,3,op,31,30,2,2,given,rd,29,25,5,,generate,op3,24,19,6,,lookup,rs1,18,14,5,,generate,i,13,13,1,1,given,unused,12,8,5,0,given,imm8,7,0,8,,range,,,,,,,,,,,,,32
F19-1,4,2,op,31,30,2,0,given,rd,29,25,5,0,given,op2,24,22,3,4,given,UNUSED,21,0,22,0,given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
