Format Index|Num_Bit_Fields|Insn_Format|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type|Bit_field_name|start|end|length|value|Value-type
B1.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12|||parameter|rs2|0|4|||generate||||||||||||
B1.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B2.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B2.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B3.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B3.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B4.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B4.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B5.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B5.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B6.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B6.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B7.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12|||parameter|rs2|0|4|||generate||||||||||||
B7.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B8.1|7|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|asi|5|12|||parameter|rs2|0|4|||generate||||||||||||
B8.2|6|3|op|30|31|2|0x3|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B9.1|4|2|op|30|31|2|0x0|given|rd|25|29|||generate|op2|22|24|3|0x4|given|imm22|0|21|22||generate||||||||||||||||||||||||||||||
B10.1|4|2|op|30|31|2|0x0|given|N|25|29||0x0|given|op2|22|24|3|0x4|given|N|0|21|22|0x0|given||||||||||||||||||||||||||||||
B11.1|7|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B11.2|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B12.1|7|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B12.2|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|U|5|12||0x0|given|SC|0|4|||parameter||||||||||||
B13.1|7|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B13.2|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B17.1|7|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|R|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B17.2|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B21.1|5|2|op|30|31|2|0x0|given|a|29|29|||generate|cond|25|28|||lookup|N|22|24|3|0x2|given|disp22|0|21|22||generate||||||||||||||||||||||||
B22.1|5|2|op|30|31|2|0x0|given|a|29|29|||generate|cond|25|28|||lookup|N|22|24|3|0x6|given|disp22|0|21|22||generate||||||||||||||||||||||||
B23.1|5|2|op|30|31|2|0x0|given|a|29|29|||generate|cond|25|28|||lookup|N|22|24|3|0x7|given|disp22|0|21|22||generate||||||||||||||||||||||||
B24.1|2|1|op|30|31|2|0x1|given|disp30|0|29|||generate||||||||||||||||||||||||||||||||||||||||||
B26.1|7|3|op|30|31|2|0x2|given|U|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B26.2|6|3|op|30|31|2|0x2|given|U|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B27.1|8|3|op|30|31|2|0x2|given|R|29|29|||generate|cond|25|28|||lookup|N|19|24||0x3A|given|rs1|14|18|||generate|i|13|13||0x0|given|R|5|12||0x0|given|rs2|0|4|||generate||||||
B27.2|8|3|op|30|31|2|0x2|given|R|29|29|||generate|cond|25|28|||lookup|N|19|24||0x3A|given|rs1|14|18|||generate|i|13|13||0x1|given|R|7|12||0x0|given|imm7|0|6|||parameter||||||
B28.1|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|U|13|13|1|0|given|U|0|12||0x0|given||||||||||||||||||
B29.1|7|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B29.2|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B30.1|6|3|op|30|31|2|0x2|given|N|25|29||0x0|given|op3|19|24|||lookup|N|14|18||0xF|given|N|13|13|1|0|given|U|0|12||0x0|given||||||||||||||||||
B31.1|4|2|op|30|31|2|0x0|given|R|25|29||0x0|given|op2|22|24||0x0|given|C|0|21||0x0|given||||||||||||||||||||||||||||||
B32.1|7|3|op|30|31|2|0x2|given|U|25|29||0x0|given|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|0|given|U|5|12||0x0|given|rs2|0|4|||generate||||||||||||
B32.2|6|3|op|30|31|2|0x2|given|U|25|29||0x0|given|op3|19|24|||lookup|rs1|14|18|||generate|i|13|13|1|1|given|simm13|0|12|||parameter||||||||||||||||||
B33.1|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|opf|5|13|||parameter|rs2|0|4|||generate||||||||||||||||||
B33.2|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|opf|5|13|||parameter|rs2|0|4|||generate||||||||||||||||||
B33.3|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24||0x34|given|U|14|18||0x0|given|opf|5|13|||lookup|rs2|0|4|||generate||||||||||||||||||
B33.4|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24||0x34|given|rs1|14|18|||generate|opf|5|13|||parameter|rs2|0|4|||generate||||||||||||||||||
B33.5|6|3|op|30|31|2|0x2|given|U|25|29||0x0|given|op3|19|24||0x34|given|rs1|14|18|||generate|opf|5|13|||parameter|rs2|0|4|||generate||||||||||||||||||
B34.1|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|opc|5|13|||parameter|rs2|0|4|||generate||||||||||||||||||
B34.2|6|3|op|30|31|2|0x2|given|rd|25|29|||generate|op3|19|24|||lookup|rs1|14|18|||generate|opc|5|13|||parameter|rs2|0|4|||generate||||||||||||||||||
