"Opcode","Format type","Format Value","Other field, if any","Value","Operation","Sparc V8 Manual main description page","Sparc V8 Manual main description Chapter reference","Insn Category","Insn Category Index","Format Index","Processing Status","Privilege
"FdTOq","op3",110100,"opf",11001110,"Convert Double to Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fdtoq","fprs2","fprd"
"FqTOs","op3",110100,"opf",11000111,"Convert Quad to Single",140,"B33","Floating Point",5,"op33","raw",0,,"fqtos","fprs2","fprd"
"FqTOd","op3",110100,"opf",11001011,"Convert Quad to Double",140,"B33","Floating Point",5,"op33","raw",0,,"fqtod","fprs2","fprd"
"FMOVs","op3",110100,"opf",1,"Move",140,"B33","Floating Point",5,"op33","raw",0,,"fmovs","fprs2","fprd"
"FNEGs","op3",110100,"opf",101,"Negate",140,"B33","Floating Point",5,"op33","raw",0,,"fnegs","fprs2","fprd"
"FABSs","op3",110100,"opf",1001,"Absolute Value",140,"B33","Floating Point",5,"op33","raw",0,,"fabss","fprs2","fprd"
"FSQRTs","op3",110100,"opf",101001,"Square Root Single",140,"B33","Floating Point",5,"op33","raw",0,,"fsqrts","fprs2","fprd"
"FSQRTd","op3",110100,"opf",101010,"Square Root Double",140,"B33","Floating Point",5,"op33","raw",0,,"fsqrtd","fprs2","fprd"
"FSQRTq","op3",110100,"opf",101011,"Square Root Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fsqrtq","fprs2","fprd"
"FADDs","op3",110100,"opf",1000001,"Add Single",140,"B33","Floating Point",5,"op33","raw",0,,"fadds","fprs1","fprs2","fprd"
"FADDd","op3",110100,"opf",1000010,"Add Double",140,"B33","Floating Point",5,"op33","raw",0,,"faddd","fprs1","fprs2","fprd"
"FADDq","op3",110100,"opf",1000011,"Add Quad",140,"B33","Floating Point",5,"op33","raw",0,,"faddq","fprs1","fprs2","fprd"
"FSUBs","op3",110100,"opf",1000101,"Subtract Single",140,"B33","Floating Point",5,"op33","raw",0,,"fsubs","fprs1","fprs2","fprd"
"FSUBd","op3",110100,"opf",1000110,"Subtract Double",140,"B33","Floating Point",5,"op33","raw",0,,"fsubd","fprs1","fprs2","fprd"
"FSUBq","op3",110100,"opf",1000111,"Subtract Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fsubq","fprs1","fprs2","fprd"
"FMULs","op3",110100,"opf",1001001,"Multiply Single",140,"B33","Floating Point",5,"op33","raw",0,,"fmuls","fprs1","fprs2","fprd"
"FMULd","op3",110100,"opf",1001010,"Multiply Double",140,"B33","Floating Point",5,"op33","raw",0,,"fmuld","fprs1","fprs2","fprd"
"FMULq","op3",110100,"opf",1001011,"Multiply Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fmulq","fprs1","fprs2","fprd"
"FsMULd","op3",110100,"opf",1101001,"Multiply Single to Double",140,"B33","Floating Point",5,"op33","raw",0,,"fsmuld","fprs1","fprs2","fprd"
"FdMULq","op3",110100,"opf",1101110,"Multiply Double to Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fdmulq","fprs1","fprs2","fprd"
"FDIVs","op3",110100,"opf",1001101,"Divide Single",140,"B33","Floating Point",5,"op33","raw",0,,"fdivs","fprs1","fprs2","fprd"
"FDIVd","op3",110100,"opf",1001110,"Divide Double",140,"B33","Floating Point",5,"op33","raw",0,,"fdivd","fprs1","fprs2","fprd"
"FDIVq","op3",110100,"opf",1001111,"Divide Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fdivq","fprs1","fprs2","fprd"
"FCMPs","op3",110101,"opf",1010001,"Compare Single",140,"B33","Floating Point",5,"op33","raw",0,,"fcmps","fprs1","fprs2"
"FCMPd","op3",110101,"opf",1010010,"Compare Double",140,"B33","Floating Point",5,"op33","raw",0,,"fcmpd","fprs1","fprs2"
"FCMPq","op3",110101,"opf",1010011,"Compare Quad",140,"B33","Floating Point",5,"op33","raw",0,,"fcmpq","fprs1","fprs2"
"FCMPEs","op3",110101,"opf",1010101,"Compare Single and Exception if Unordered",140,"B33","Floating Point",5,"op33","raw",0,,"fcmpes","fprs1","fprs2"
"FCMPEd","op3",110101,"opf",1010110,"Compare Double and Exception if Unordered",140,"B33","Floating Point",5,"op33","raw",0,,"fcmped","fprs1","fprs2"
"FCMPEq","op3",110101,"opf",1010111,"Compare Quad and Exception if Unordered",140,"B33","Floating Point",5,"op33","raw",0,,"fcmpeq","fprs1","fprs2"
"CPop1","op3",110110,"opc",,"Coprocessor Operate",149,"B34","Coprocessor",6,"op39","raw",0,"Opc: coproc specific","cpop1","opc","cprs1","cprs2","cprd"
"CPop2","op3",110111,"opc",,"Coprocessor Operate",149,"B34","Coprocessor",6,"op30","raw",0,"Opc: coproc specific","cpop2","opc","cprs1","cprs2","cprd"
"LDSB","op3",001001,"i",000001,"Load Signed Byte",90,"B1","Load/Store",1,"op35","raw",0,,"ldsb","rs1","sign_ext (simm13)","rd"
"LDSH","op3",001010,"i",000001,"Load Signed Halfword",90,"B1","Load/Store",1,"op35","raw",0,,"ldsh","rs1","sign_ext (simm13)","rd"
"LDUB","op3",000001,"i",000001,"Load Unsigned Byte",90,"B1","Load/Store",1,"op35","raw",0,,"ldub","rs1","sign_ext (simm13)","rd"
"LDUH","op3",000010,"i",000001,"Load Unsigned Halfword",90,"B1","Load/Store",1,"op35","raw",0,,"lduh","rs1","sign_ext (simm13)","rd"
"LD","op3",000000,"i",000001,"Load Word",90,"B1","Load/Store",1,"op35","raw",0,,"ld","rs1","sign_ext (simm13)","rd"
"LDD","op3",000011,"i",000001,"Load Doubleword",90,"B1","Load/Store",1,"op35","raw",0,,"ldd","rs1","sign_ext (simm13)","rd"
"LDF","op3",100000,"i",000001,"Load Floating-point Register",92,"B2","Load/Store",1,"op35","raw",0,,"ld","rs1","sign_ext (simm13)","fprd"
"LDDF","op3",100011,"i",000001,"Load Double Floating-point Register",92,"B2","Load/Store",1,"op35","raw",0,,"ldd","rs1","sign_ext (simm13)","fprd"
"LDFSR","op3",100001,"i",000001,"Load Floating-point State Register",92,"B2","Load/Store",1,"op35","raw",0,,"ld","rs1","sign_ext (simm13)","%fsr"
"LDC","op3",110000,"i",000001,"Load Coprocessor Register",94,"B3","Load/Store",1,"op35","raw",0,,"ld","rs1","sign_ext (simm13)","cprd"
"LDDC","op3",110011,"i",000001,"Load Double Coprocessor Register",94,"B3","Load/Store",1,"op35","raw",0,,"ldd","rs1","sign_ext (simm13)","cprd"
"LDCSR ","op3",110001,"i",000001,"Load Coprocessor State Register",94,"B3","Load/Store",1,"op35","raw",0,,"ld","rs1","sign_ext (simm13)","%csr"
"STB","op3",000101,"i",000001,"Store Byte",95,"B4","Load/Store",1,"op35","raw",0,,"stb","rd","rs1","sign_ext (simm13)"
"STH","op3",000110,"i",000001,"Store Halfword",95,"B4","Load/Store",1,"op35","raw",0,,"sth","rd","rs1","sign_ext (simm13)"
"ST","op3",000100,"i",000001,"Store Word",95,"B4","Load/Store",1,"op35","raw",0,,"st","rd","rs1","sign_ext (simm13)"
"STD","op3",000111,"i",000001,"Store Doubleword",95,"B4","Load/Store",1,"op35","raw",0,,"std","rd","rs1","sign_ext (simm13)"
"STF","op3",100100,"i",000001,"Store Floating-point",97,"B5","Load/Store",1,"op35","raw",0,,"stf","fprd","rs1","sign_ext (simm13)"
"STDF","op3",100111,"i",000001,"Store Double Floating-point",97,"B5","Load/Store",1,"op35","raw",0,,"stdf","fprd","rs1","sign_ext (simm13)"
"STFSR","op3",100101,"i",000001,"Store Floating-point State Register",97,"B5","Load/Store",1,"op35","raw",0,,"stfsr","%fsr","rs1","sign_ext (simm13)"
"STDFQ ","op3",100110,"i",000001,"Store Double Floating-point deferred-trap Queue",97,"B5","Load/Store",1,"op35","raw",0,,"stdfq ","%fq","rs1","sign_ext (simm13)"
"STC","op3",110100,"i",000001,"Store Coprocessor",99,"B6","Load/Store",1,"op35","raw",0,,"stc","cprd","rs1","sign_ext (simm13)"
"STDC","op3",110111,"i",000001,"Store Double Coprocessor",99,"B6","Load/Store",1,"op35","raw",0,,"stdc","cprd","rs1","sign_ext (simm13)"
"STCSR","op3",110101,"i",000001,"Store Coprocessor State Register",99,"B6","Load/Store",1,"op35","raw",0,,"stcsr","%csr","rs1","sign_ext (simm13)"
"STDCQ","op3",110110,"i",000001,"Store Double Coprocessor Queue",99,"B6","Load/Store",1,"op35","raw",0,,"stdcq","%cq","rs1","sign_ext (simm13)"
"LDSTUBA ","op3",011101,"i",000001,"Atomic Load-Store Unsigned Byte into Alternate space",101,"B7","Load/Store",1,"op35","raw",0,,"ldstuba ","rs1","sign_ext (simm13)","rd"
"SWAPA ","op3",011111,"i",000001,"SWAP register with Alternate space memory",102,"B8","Load/Store",1,"op35","raw",0,,"swapa ","rs1","sign_ext (simm13)","rd"
"AND","op3",000001,"i",000001,"And",106,"B11","Integer Arith",2,"op32","raw",0,,"and","rs1","sign_ext (simm13)","rd"
"ANDcc","op3",010001,"i",000001,"And and modify icc",106,"B11","Integer Arith",2,"op32","raw",0,,"andcc","rs1","sign_ext (simm13)","rd"
"ANDN","op3",000101,"i",000001,"And Not",106,"B11","Integer Arith",2,"op32","raw",0,,"andn","rs1","sign_ext (simm13)","rd"
"ANDNcc","op3",010101,"i",000001,"And Not and modify icc",106,"B11","Integer Arith",2,"op32","raw",0,,"andncc","rs1","sign_ext (simm13)","rd"
"OR","op3",000010,"i",000001,"Inclusive Or",106,"B11","Integer Arith",2,"op32","raw",0,,"or","rs1","sign_ext (simm13)","rd"
"ORcc","op3",010010,"i",000001,"Inclusive Or and modify icc",106,"B11","Integer Arith",2,"op32","raw",0,,"orcc","rs1","sign_ext (simm13)","rd"
"ORN","op3",000110,"i",000001,"Inclusive Or Not",106,"B11","Integer Arith",2,"op32","raw",0,,"orn","rs1","sign_ext (simm13)","rd"
"ORNcc","op3",010110,"i",000001,"Inclusive Or Not and modify icc",106,"B11","Integer Arith",2,"op32","raw",0,,"orncc","rs1","sign_ext (simm13)","rd"
"XOR","op3",000011,"i",000001,"Exclusive Or",106,"B11","Integer Arith",2,"op32","raw",0,,"xor","rs1","sign_ext (simm13)","rd"
"XORcc","op3",010011,"i",000001,"Exclusive Or and modify icc",106,"B11","Integer Arith",2,"op32","raw",0,,"xorcc","rs1","sign_ext (simm13)","rd"
"XNOR","op3",000111,"i",000001,"Exclusive Nor",106,"B11","Integer Arith",2,"op32","raw",0,,"xnor","rs1","sign_ext (simm13)","rd"
"XNORcc","op3",010111,"i",000001,"Exclusive Nor and modify icc",106,"B11","Integer Arith",2,"op32","raw",0,,"xnorcc","rs1","sign_ext (simm13)","rd"
"SLL","op3",100101,"i",000001,"Shift Left Logical",107,"B12","Integer Arith",2,"op32","raw",0,,"sll","rs1","sign_ext (simm13)","rd"
"SRL","op3",100110,"i",000001,"Shift Right Logical",107,"B12","Integer Arith",2,"op32","raw",0,,"srl","rs1","sign_ext (simm13)","rd"
"SRA","op3",100111,"i",000001,"Shift Right Arithmetic",107,"B12","Integer Arith",2,"op32","raw",0,,"sra","rs1","sign_ext (simm13)","rd"
"ADD","op3",000000,"i",000001,"Add",108,"B13","Integer Arith",2,"op32","raw",0,,"add","rs1","sign_ext (simm13)","rd"
"ADDcc","op3",010000,"i",000001,"Add and modify icc",108,"B13","Integer Arith",2,"op32","raw",0,,"addcc","rs1","sign_ext (simm13)","rd"
"ADDX","op3",001000,"i",000001,"Add with Carry",108,"B13","Integer Arith",2,"op32","raw",0,,"addx","rs1","sign_ext (simm13)","rd"
"ADDXcc","op3",011000,"i",000001,"Add with Carry and modify icc",108,"B13","Integer Arith",2,"op32","raw",0,,"addxcc","rs1","sign_ext (simm13)","rd"
"TADDcc","op3",100000,"i",000001,"Tagged Add and modify icc",109,"B14","Integer Arith",2,"op32","raw",0,,"taddcc","rs1","sign_ext (simm13)","rd"
"TADDccTV","op3",100010,"i",000001,"Tagged Add, modify icc and Trap on Overflow",109,"B14","Integer Arith",2,"op32","raw",0,,"taddcctv","rs1","sign_ext (simm13)","rd"
"SUB","op3",000100,"i",000001,"Subtract",110,"B15","Integer Arith",2,"op32","raw",0,,"sub","rs1","sign_ext (simm13)","rd"
"SUBcc","op3",010100,"i",000001,"Subtract and modify icc",110,"B15","Integer Arith",2,"op32","raw",0,,"subcc","rs1","sign_ext (simm13)","rd"
"SUBX","op3",001100,"i",000001,"Subtract with Carry",110,"B15","Integer Arith",2,"op32","raw",0,,"subx","rs1","sign_ext (simm13)","rd"
"SUBXcc","op3",011100,"i",000001,"Subtract with Carry and modify icc",110,"B15","Integer Arith",2,"op32","raw",0,,"subxcc","rs1","sign_ext (simm13)","rd"
"TSUBcc","op3",100001,"i",000001,"Tagged Subtract and modify icc",111,"B16","Integer Arith",2,"op32","raw",0,,"tsubcc","rs1","sign_ext (simm13)","rd"
"TSUBccTV","op3",100011,"i",000001,"Tagged Subtract, modify icc and Trap on Overflow",111,"B16","Integer Arith",2,"op32","raw",0,,"tsubcctv","rs1","sign_ext (simm13)","rd"
"MULScc","op3",100100,"i",000001,"Multiply Step and modify icc",112,"B17","Integer Arith",2,"op32","raw",0,,"mulscc","rs1","sign_ext (simm13)","rd"
"UMUL","op3",001010,"i",000001,"Unsigned Integer Multiply",113,"B18","Integer Arith",2,"op32","raw",0,,"umul","rs1","sign_ext (simm13)","rd"
"SMUL","op3",001011,"i",000001,"Signed Integer Multiply",113,"B18","Integer Arith",2,"op32","raw",0,,"smul","rs1","sign_ext (simm13)","rd"
"UMULcc","op3",011010,"i",000001,"Unsigned Integer Multiply and modify icc",113,"B18","Integer Arith",2,"op32","raw",0,,"umulcc","rs1","sign_ext (simm13)","rd"
"SMULcc","op3",011011,"i",000001,"Signed Integer Multiply and modify icc",113,"B18","Integer Arith",2,"op32","raw",0,,"smulcc","rs1","sign_ext (simm13)","rd"
"UDIV","op3",001110,"i",000001,"Unsigned Integer Divide",115,"B19","Integer Arith",2,"op32","raw",0,,"udiv","rs1","sign_ext (simm13)","rd"
"SDIV","op3",001111,"i",000001,"Signed Integer Divide",115,"B19","Integer Arith",2,"op32","raw",0,,"sdiv","rs1","sign_ext (simm13)","rd"
"UDIVcc","op3",011110,"i",000001,"Unsigned Integer Divide and modify icc",115,"B19","Integer Arith",2,"op32","raw",0,,"udivcc","rs1","sign_ext (simm13)","rd"
"SDIVcc","op3",011111,"i",000001,"Signed Integer Divide and modify icc",115,"B19","Integer Arith",2,"op32","raw",0,,"sdivcc","rs1","sign_ext (simm13)","rd"
"SAVE","op3",111100,"i",000001,"Save caller’s window",117,"B20","Integer Arith",2,"op32","raw",0,,"save","rs1","sign_ext (simm13)","rd"
"RESTORE","op3",111101,"i",000001,"Restore caller’s window",117,"B20","Integer Arith",2,"op32","raw",0,,"restore","rs1","sign_ext (simm13)","rd"
"BA","op2",1000,"a",0001,"Branch Always",119,"B21","Control Transfer",3,"op21","raw",0,,"ba,a","label"
"BN","op2",0000,"a",0001,"Branch Never",119,"B21","Control Transfer",3,"op21","raw",0,,"bn,a","label"
"BNE","op2",1001,"a",0001,"Branch on Not Equal",119,"B21","Control Transfer",3,"op21","raw",0,,"bne,a","label"
"BE","op2",0001,"a",0001,"Branch on Equal",119,"B21","Control Transfer",3,"op21","raw",0,,"be,a","label"
"BG","op2",1010,"a",0001,"Branch on Greater",119,"B21","Control Transfer",3,"op21","raw",0,,"bg,a","label"
"BLE","op2",0010,"a",0001,"Branch on Less or Equal",119,"B21","Control Transfer",3,"op21","raw",0,,"ble,a","label"
"BGE","op2",1011,"a",0001,"Branch on Greater or Equal",119,"B21","Control Transfer",3,"op21","raw",0,,"bge,a","label"
"BL","op2",0011,"a",0001,"Branch on Less",119,"B21","Control Transfer",3,"op21","raw",0,,"bl,a","label"
"BGU","op2",1100,"a",0001,"Branch on Greater Unsigned",119,"B21","Control Transfer",3,"op21","raw",0,,"bgu,a","label"
"BLEU","op2",0100,"a",0001,"Branch on Less or Equal Unsigned",119,"B21","Control Transfer",3,"op21","raw",0,,"bleu,a","label"
"BCC","op2",1101,"a",0001,"Branch on Carry Clear (Greater than or Equal, Unsigned)",119,"B21","Control Transfer",3,"op21","raw",0,,"bcc,a","label"
"BCS","op2",0101,"a",0001,"Branch on Carry Set (Less than, Unsigned)",119,"B21","Control Transfer",3,"op21","raw",0,,"bcs,a","label"
"BPOS","op2",1110,"a",0001,"Branch on Positive",119,"B21","Control Transfer",3,"op21","raw",0,,"bpos,a","label"
"BNEG","op2",0110,"a",0001,"Branch on Negative",119,"B21","Control Transfer",3,"op21","raw",0,,"bneg,a","label"
"BVC","op2",1111,"a",0001,"Branch on Overflow Clear",119,"B21","Control Transfer",3,"op21","raw",0,,"bvc,a","label"
"BVS","op2",0111,"a",0001,"Branch on Overflow Set",119,"B21","Control Transfer",3,"op21","raw",0,,"bvs,a","label"
"FBA","op2",1000,"a",0001,"FCC Branch Always",121,"B22","Control Transfer",3,"op21","raw",0,,"fba,a","label"
"FBN","op2",0000,"a",0001,"FCC Branch Never",121,"B22","Control Transfer",3,"op21","raw",0,,"fbn,a","label"
"FBU","op2",0111,"a",0001,"FCC Branch on Unordered",121,"B22","Control Transfer",3,"op21","raw",0,,"fbu,a","label"
"FBG","op2",0110,"a",0001,"FCC Branch on Greater",121,"B22","Control Transfer",3,"op21","raw",0,,"fbg,a","label"
"FBUG","op2",0101,"a",0001,"FCC Branch on Unordered or Greater",121,"B22","Control Transfer",3,"op21","raw",0,,"fbug,a","label"
"FBL","op2",0100,"a",0001,"FCC Branch on Less",121,"B22","Control Transfer",3,"op21","raw",0,,"fbl,a","label"
"FBUL","op2",0011,"a",0001,"FCC Branch on Unordered or Less",121,"B22","Control Transfer",3,"op21","raw",0,,"fbul,a","label"
"FBLG","op2",0010,"a",0001,"FCC Branch on Less or Greater",121,"B22","Control Transfer",3,"op21","raw",0,,"fblg,a","label"
"FBNE","op2",0001,"a",0001,"FCC Branch on Not Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbne,a","label"
"FBE","op2",1001,"a",0001,"FCC Branch on Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbe,a","label"
"FBUE","op2",1010,"a",0001,"FCC Branch on Unordered or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbue,a","label"
"FBGE","op2",1011,"a",0001,"FCC Branch on Greater or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbge,a","label"
"FBUGE","op2",1100,"a",0001,"FCC Branch on Unordered or Greater or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbuge,a","label"
"FBLE","op2",1101,"a",0001,"FCC Branch on Less or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fble,a","label"
"FBULE","op2",1110,"a",0001,"FCC Branch on Unordered or Less or Equal",121,"B22","Control Transfer",3,"op21","raw",0,,"fbule,a","label"
"FBO","op2",1111,"a",0001,"FCC Branch on Ordered",121,"B22","Control Transfer",3,"op21","raw",0,,"fbo,a","label"
"CBA","op2",1000,"a",0001,"CCC Branch Always",123,"B23","Control Transfer",3,"op21","raw",0,,"cba,a","label"
"CBN","op2",0000,"a",0001,"CCC Branch Never",123,"B23","Control Transfer",3,"op21","raw",0,,"cbn,a","label"
"CB3","op2",0111,"a",0001,"CCC Branch on Unordered",123,"B23","Control Transfer",3,"op21","raw",0,,"cb3,a","label"
"CB2","op2",0110,"a",0001,"CCC Branch on Greater",123,"B23","Control Transfer",3,"op21","raw",0,,"cb2,a","label"
"CB23","op2",0101,"a",0001,"CCC Branch on Unordered or Greater",123,"B23","Control Transfer",3,"op21","raw",0,,"cb23,a","label"
"CB1","op2",0100,"a",0001,"CCC Branch on Less",123,"B23","Control Transfer",3,"op21","raw",0,,"cb1,a","label"
"CB13","op2",0011,"a",0001,"CCC Branch on Unordered or Less",123,"B23","Control Transfer",3,"op21","raw",0,,"cb13,a","label"
"CB12","op2",0010,"a",0001,"CCC Branch on Less or Greater",123,"B23","Control Transfer",3,"op21","raw",0,,"cb12,a","label"
"CB123","op2",0001,"a",0001,"CCC Branch on Not Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb123,a","label"
"CB0","op2",1001,"a",0001,"CCC Branch on Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb0,a","label"
"CB03","op2",1010,"a",0001,"CCC Branch on Unordered or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb03,a","label"
"CB02","op2",1011,"a",0001,"CCC Branch on Greater or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb02,a","label"
"CB023","op2",1100,"a",0001,"CCC Branch on Unordered or Greater or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb023,a","label"
"CB01","op2",1101,"a",0001,"CCC Branch on Less or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb01,a","label"
"CB013","op2",1110,"a",0001,"CCC Branch on Unordered or Less or Equal",123,"B23","Control Transfer",3,"op21","raw",0,,"cb013,a","label"
"CB012","op2",1111,"a",0001,"CCC Branch on Ordered",123,"B23","Control Transfer",3,"op21","raw",0,,"cb012,a","label"
"JMPL","op3",111000,"i",000001,"Jump and Link",126,"B25","Control Transfer",3,"op32","raw",0,,"jmpl","rs1","sign_ext (simm13)","rd"
"RETT","op3",111001,"i",000001,"Return from Trap",127,"B26","Control Transfer",3,"op44","raw",0,,"rett","rs1","sign_ext (simm13)"
"TA","op3",111010,"i",000001,"Trap Always",129,"B27","Control Transfer",3,"op38","raw",0,,"ta","rs1","sign_ext (simm13)","#software-trap"
"TN","op3",111010,"i",000001,"Trap Never",129,"B27","Control Transfer",3,"op38","raw",0,,"tn","rs1","sign_ext (simm13)","#software-trap"
"TNE","op3",111010,"i",000001,"Trap on Not Equal",129,"B27","Control Transfer",3,"op38","raw",0,,"tne","rs1","sign_ext (simm13)","#software-trap"
"TE","op3",111010,"i",000001,"Trap on Equal",129,"B27","Control Transfer",3,"op38","raw",0,,"te","rs1","sign_ext (simm13)","#software-trap"
"TG","op3",111010,"i",000001,"Trap on Greater",129,"B27","Control Transfer",3,"op38","raw",0,,"tg","rs1","sign_ext (simm13)","#software-trap"
"TLE","op3",111010,"i",000001,"Trap on Less or Equal",129,"B27","Control Transfer",3,"op38","raw",0,,"tle","rs1","sign_ext (simm13)","#software-trap"
"TGE","op3",111010,"i",000001,"Trap on Greater or Equal",129,"B27","Control Transfer",3,"op38","raw",0,,"tge","rs1","sign_ext (simm13)","#software-trap"
"TL","op3",111010,"i",000001,"Trap on Less",129,"B27","Control Transfer",3,"op38","raw",0,,"tl","rs1","sign_ext (simm13)","#software-trap"
"TGU","op3",111010,"i",000001,"Trap on Greater Unsigned",129,"B27","Control Transfer",3,"op38","raw",0,,"tgu","rs1","sign_ext (simm13)","#software-trap"
"TLEU","op3",111010,"i",000001,"Trap on Less or Equal Unsigned",129,"B27","Control Transfer",3,"op38","raw",0,,"tleu","rs1","sign_ext (simm13)","#software-trap"
"TCC","op3",111010,"i",000001,"Trap on Carry Clear (Greater than or Equal, Unsigned)",129,"B27","Control Transfer",3,"op38","raw",0,,"tcc","rs1","sign_ext (simm13)","#software-trap"
"TCS","op3",111010,"i",000001,"Trap on Carry Set (Less Than, Unsigned)",129,"B27","Control Transfer",3,"op38","raw",0,,"tcs","rs1","sign_ext (simm13)","#software-trap"
"TPOS","op3",111010,"i",000001,"Trap on Positive",129,"B27","Control Transfer",3,"op38","raw",0,,"tpos","rs1","sign_ext (simm13)","#software-trap"
"TNEG","op3",111010,"i",000001,"Trap on Negative",129,"B27","Control Transfer",3,"op38","raw",0,,"tneg","rs1","sign_ext (simm13)","#software-trap"
"TVC","op3",111010,"i",000001,"Trap on Overflow Clear",129,"B27","Control Transfer",3,"op38","raw",0,,"tvc","rs1","sign_ext (simm13)","#software-trap"
"TVS","op3",111010,"i",000001,"Trap on Overflow Set",129,"B27","Control Transfer",3,"op38","raw",0,,"tvs","rs1","sign_ext (simm13)","#software-trap"
"FLUSH","op3",111011,"i",000001,"Flush Instruction Memory",138,"B32","Load/Store",1,"op44","raw",0,,"flush","rs1","sign_ext (simm13)"
